epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3410.85,0.27846,0.28285,0.78987,0.59827,0.49394,0.49507,0.47939,0.37936,0.30577,0.76596,5.68652e-05,5.68652e-05,5.68652e-05
100,3496.5,0.27463,0.27856,0.78371,0.59834,0.49394,0.49612,0.48281,0.34596,0.29778,0.76321,5.58026e-05,5.58026e-05,5.58026e-05
101,3582.16,0.27215,0.27016,0.78721,0.59814,0.49394,0.50194,0.48457,0.31774,0.29945,0.76103,5.474e-05,5.474e-05,5.474e-05
102,3670.06,0.27584,0.26586,0.78034,0.59819,0.49394,0.50133,0.48119,0.37114,0.31401,0.7649,5.36774e-05,5.36774e-05,5.36774e-05
103,3755.31,0.2774,0.26965,0.78339,0.59851,0.49394,0.50218,0.49171,0.30982,0.30035,0.75908,5.26148e-05,5.26148e-05,5.26148e-05
104,3841.55,0.27157,0.25855,0.7821,0.59794,0.49394,0.4953,0.46855,0.43496,0.32573,0.77388,5.15522e-05,5.15522e-05,5.15522e-05
105,3928.96,0.28305,0.28919,0.78295,0.59776,0.49394,0.50468,0.48254,0.38994,0.29834,0.76655,5.04896e-05,5.04896e-05,5.04896e-05
106,4014.8,0.26855,0.26649,0.7811,0.5981,0.49394,0.5098,0.48815,0.35665,0.29839,0.76325,4.9427e-05,4.9427e-05,4.9427e-05
107,4100.77,0.286,0.2678,0.80241,0.59828,0.49394,0.51219,0.48924,0.33332,0.28898,0.75945,4.83644e-05,4.83644e-05,4.83644e-05
108,4188.84,0.26647,0.26156,0.78304,0.59838,0.49394,0.51219,0.49001,0.29,0.28069,0.7556,4.73018e-05,4.73018e-05,4.73018e-05
109,4274.67,0.27304,0.26932,0.79076,0.59829,0.49394,0.52838,0.50201,0.3352,0.30752,0.75908,4.62392e-05,4.62392e-05,4.62392e-05
110,4362.14,0.27373,0.27006,0.77891,0.59785,0.49394,0.5115,0.49487,0.30559,0.29319,0.75992,4.51766e-05,4.51766e-05,4.51766e-05
111,4448.73,0.27324,0.26309,0.78332,0.5978,0.49394,0.51509,0.49982,0.32098,0.28975,0.76907,4.4114e-05,4.4114e-05,4.4114e-05
112,4536.53,0.2527,0.25733,0.78763,0.59757,0.49637,0.49502,0.477,0.32363,0.28136,0.76141,4.30514e-05,4.30514e-05,4.30514e-05
113,4624.64,0.26695,0.2639,0.78333,0.59741,0.4964,0.49504,0.48375,0.29874,0.28117,0.76057,4.19888e-05,4.19888e-05,4.19888e-05
114,4710.47,0.26016,0.25403,0.78173,0.59732,0.49644,0.49502,0.47768,0.29927,0.26904,0.75852,4.09262e-05,4.09262e-05,4.09262e-05
115,4798.35,0.27025,0.26236,0.78557,0.59716,0.49646,0.50347,0.48796,0.2548,0.26659,0.75545,3.98636e-05,3.98636e-05,3.98636e-05
116,4884.77,0.2589,0.24962,0.79001,0.59737,0.49644,0.50217,0.48736,0.28252,0.27576,0.75705,3.8801e-05,3.8801e-05,3.8801e-05
117,4971.57,0.24998,0.24796,0.77795,0.59719,0.49644,0.49524,0.47882,0.32024,0.27533,0.75685,3.77384e-05,3.77384e-05,3.77384e-05
118,5060.25,0.25213,0.25526,0.78596,0.49708,0.49646,0.49506,0.48067,0.28088,0.26712,0.7566,3.66758e-05,3.66758e-05,3.66758e-05
119,5145.64,0.24767,0.2536,0.78512,0.59861,0.49394,0.49493,0.48686,0.29968,0.27644,0.75572,3.56132e-05,3.56132e-05,3.56132e-05
120,5232.57,0.26429,0.25243,0.78604,0.5986,0.49394,0.49495,0.48678,0.27908,0.27225,0.75393,3.45506e-05,3.45506e-05,3.45506e-05
121,5318.43,0.27767,0.26805,0.79042,0.59731,0.49645,0.49503,0.48788,0.25856,0.26693,0.7541,3.3488e-05,3.3488e-05,3.3488e-05
122,5403.2,0.25185,0.25637,0.77853,0.59834,0.49394,0.50153,0.49417,0.3078,0.28685,0.75786,3.24254e-05,3.24254e-05,3.24254e-05
