epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,3583.47,0.43068,0.52152,0.80856,0.99398,0.93939,0.9729,0.84628,0.64117,0.76632,0.84117,3.3488e-05,3.3488e-05,3.3488e-05
82,3626.3,0.4004,0.51416,0.80653,0.99422,0.93939,0.97354,0.84216,0.66916,0.78406,0.84403,3.18941e-05,3.18941e-05,3.18941e-05
83,3667.12,0.41797,0.54219,0.83324,0.99518,0.93939,0.97099,0.83205,0.66191,0.77234,0.84121,3.03002e-05,3.03002e-05,3.03002e-05
84,3711.48,0.39202,0.506,0.80211,0.99536,0.93939,0.97239,0.84035,0.63085,0.74167,0.84052,2.87063e-05,2.87063e-05,2.87063e-05
85,3755.22,0.4001,0.51193,0.81268,0.99549,0.93939,0.97293,0.84094,0.61622,0.74497,0.84115,2.71124e-05,2.71124e-05,2.71124e-05
86,3797.47,0.36782,0.49858,0.80555,0.99559,0.93939,0.97358,0.83956,0.626,0.74398,0.83962,2.55185e-05,2.55185e-05,2.55185e-05
87,3839.76,0.40558,0.53183,0.82405,0.99549,0.93939,0.97342,0.83911,0.64126,0.74274,0.84171,2.39246e-05,2.39246e-05,2.39246e-05
88,3883.43,0.392,0.50499,0.8054,0.99523,0.93939,0.97217,0.84046,0.64617,0.76075,0.84346,2.23307e-05,2.23307e-05,2.23307e-05
89,3924.69,0.35444,0.49072,0.81451,0.99491,0.93939,0.97245,0.83363,0.66059,0.76717,0.84282,2.07368e-05,2.07368e-05,2.07368e-05
90,3965.35,0.37247,0.49891,0.80107,0.99484,0.93939,0.9742,0.83907,0.66056,0.75187,0.84355,1.91429e-05,1.91429e-05,1.91429e-05
91,4005.63,0.70786,0.90032,0.84672,0.99334,0.93939,0.97025,0.85257,0.62934,0.75811,0.83711,1.7549e-05,1.7549e-05,1.7549e-05
92,4045.31,0.61001,0.8574,0.84596,0.99245,0.93939,0.96388,0.83509,0.60391,0.75489,0.83442,1.59551e-05,1.59551e-05,1.59551e-05
93,4085.51,0.60361,0.82093,0.84668,0.99022,0.93939,0.96203,0.81765,0.63676,0.74606,0.83785,1.43612e-05,1.43612e-05,1.43612e-05
94,4125.46,0.57366,0.88082,0.83258,0.98597,0.93939,0.96671,0.80842,0.6682,0.75962,0.84285,1.27673e-05,1.27673e-05,1.27673e-05
95,4165.79,0.52587,0.79296,0.84832,0.98419,0.93939,0.97312,0.81878,0.65816,0.76253,0.83858,1.11734e-05,1.11734e-05,1.11734e-05
96,4205.6,0.5338,0.79489,0.83096,0.98421,0.93939,0.98083,0.81824,0.65059,0.73885,0.83364,9.5795e-06,9.5795e-06,9.5795e-06
97,4246.01,0.59695,0.91011,0.84217,0.98611,0.93939,0.97877,0.82052,0.65153,0.72003,0.83088,7.9856e-06,7.9856e-06,7.9856e-06
98,4287.42,0.58065,0.82354,0.82872,0.98788,0.93939,0.97769,0.82284,0.64991,0.70155,0.82768,6.3917e-06,6.3917e-06,6.3917e-06
99,4328.31,0.55934,0.79773,0.84875,0.9893,0.93939,0.97711,0.82691,0.64412,0.67974,0.82565,4.7978e-06,4.7978e-06,4.7978e-06
100,4369.22,0.46214,0.73472,0.80932,0.9901,0.93939,0.97752,0.8301,0.63061,0.6752,0.82328,3.2039e-06,3.2039e-06,3.2039e-06
